SeniorCitizen,tenure,MonthlyCharges,TotalCharges,Churn,gender_Male,Partner_Yes,Dependents_Yes,PhoneService_Yes,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaperlessBilling_Yes,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check
0,-1.2827281667186554,-1.4850867379012387,-0.9999432694957008,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0
1,-1.2827281667186554,-0.6519435229621608,-0.988891930306368,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1.6113072651077522,1.1656723132222948,2.1903864449817108,0,0,1,1,1,0,1,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0
0,-1.1196839170382944,0.16124416587059198,-0.8690477670016886,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
0,0.5515196421854057,0.3308661377743562,0.5565529298609687,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
0,0.06238689314432279,1.3801942188652905,0.5569720425248356,1,1,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0
0,-0.8751175425177529,1.0974909323590165,-0.5211842559921556,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0
0,-0.9158786049378431,-0.5089289192001635,-0.7989897764521466,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
0,1.5297851402675717,0.14461456078198764,1.140685690485157,0,0,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0
0,-0.6305511679972114,-1.466794172303774,-0.8243350633354665,0,0,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1
0,1.24445770332694,0.49882514916926,1.1358769241313154,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,1,0,0
0,-0.7935954176775724,0.37742903202244854,-0.5758674293461589,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0
0,0.6738028294456765,0.6534804764932807,0.7146686969450734,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
0,-1.2419671042985652,-0.518906682253326,-0.9660613194062497,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,-1.2419671042985652,0.5254325173110274,-0.9452600961416974,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
0,0.7960860167059473,0.49549922815153935,0.8519170650808577,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,1,1,0,0
0,1.4890240778474815,-0.023344450612916196,0.8679315805528248,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0
1,0.429236454925135,0.8447209350122307,0.6846911121979615,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
0,-0.712073292837392,1.1390649450805275,-0.37956829272765313,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0
1,-0.3044626686364894,0.15459232383515015,-0.23563618053125468,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0
1,-0.9974007297780236,0.5254325173110274,-0.7294611913727524,1,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
1,1.1221745160666692,0.33252909828321653,0.9571584608339638,0,0,1,1,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0,1,1,0,0
1,-0.5897901055771212,1.017668827933716,-0.23568029765376705,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0
0,1.24445770332694,1.1573575106779928,1.775464907753472,0,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0
1,1.3667408905872107,1.450038560237429,2.113027070656382,0,1,1,1,1,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0
0,0.06238689314432279,-1.3271054895594974,-0.6143155016156336,0,0,1,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0
0,1.6113072651077522,1.4184423105690807,2.455971522505793,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,1,1,0,0
0,0.592280704605496,1.18562783932862,1.0677821455335712,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0
0,1.1221745160666692,0.8330802114502078,1.3958370685350787,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
0,1.6113072651077522,-0.7567100350203682,0.29789424057131836,0,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0,-0.5897901055771212,-0.34762174984070127,-0.5866099486779055,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0
0,-0.9566396673579334,0.982746657247647,-0.630660895506443,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
0,-1.201206041878475,0.34749574286296053,-0.9011650321906476,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0
0,0.592280704605496,0.4672288995009121,0.601574453384777,0,1,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0
0,-0.05989629411594795,0.4772066625540746,0.09283785513411982,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1
0,0.7145638918657667,-1.4867496984100992,-0.5981686347761296,0,0,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0
0,-0.9158786049378431,0.49882514916926,-0.6173816416302389,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
0,-1.2827281667186554,-0.5255585242887678,-0.9872154796509004,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0,0.7960860167059473,-1.4784348958657971,-0.5276915315627206,0,0,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
1,1.2852187657470302,1.5548050722956361,2.1230195989054192,0,1,1,1,1,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,0
0,1.2036966409068497,-1.3503869366835435,-0.3803624009328747,0,1,1,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0
0,-1.201206041878475,-0.011703727050893342,-0.9305911529063556,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
1,0.9591302663863083,1.518219941100707,1.6997158083998427,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0
0,0.5515196421854057,-0.30604773711919037,0.1773883204289544,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
0,-0.9974007297780236,-0.3393069472963991,-0.7961001049275906,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,-0.1006573565360382,0.3292031772654958,-0.07741012064086902,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0
0,0.5107585797653155,-1.2955092398911492,-0.4721260157584713,0,0,1,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0
0,-1.2827281667186554,0.4821955440806557,-0.9738479915296717,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
0,-0.8751175425177529,-0.4756697090229548,-0.7594387761198643,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
0,-1.0381617921981139,0.3425068613363795,-0.7896369464795377,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
0,0.38847539250504476,1.2953832329134085,0.9003135484768573,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0
0,0.6738028294456765,-1.4867496984100992,-0.5794409162696558,0,0,1,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0
0,-0.9566396673579334,1.1457167871159692,-0.6035288651613748,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0
0,0.10314795556441304,-0.08986287096733384,-0.03146213754430245,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
0,0.6330417670255862,-1.4701200933214948,-0.5425369432881116,0,0,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0
0,0.5515196421854057,-1.4934015404455407,-0.5998450854315973,0,0,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1
0,-0.14141841895612844,-1.0344244400000608,-0.5636028692877378,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0,-0.1006573565360382,0.5719954115591193,0.12504335456810323,0,1,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,-1.2827281667186554,0.32754021675663547,-0.975899437726494,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
0,1.3667408905872107,0.6368508714046763,1.5121077449162614,0,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1
0,1.3259798281671205,1.5365125066981715,2.1265489687064036,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,1,0,0
0,1.6113072651077522,1.1989315233995035,2.2818632985109772,0,1,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0
0,-0.8343564800976626,0.46889186000977245,-0.5997347926253165,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
0,1.570546202687662,0.06645541686554692,1.0861348684986902,0,1,1,1,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0
0,-1.1196839170382944,-1.4568164092506115,-0.9586275842629262,1,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1
0,0.7960860167059473,-1.4584793697594718,-0.520390147786934,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0
1,-0.3044626686364894,1.1191094189742024,0.10047011732874885,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0
0,-1.2827281667186554,-1.4850867379012387,-0.9999432694957008,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1
0,-1.2827281667186554,-1.510031145534145,-1.0002741479145432,0,0,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0
0,0.22543114282468377,1.002702183353972,0.58183204106052,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0
1,1.3667408905872107,-0.6419657599089983,0.32668066301059806,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0
0,1.4482630154273912,1.5015903360121026,2.349274261709781,1,1,1,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,0
0,-1.1196839170382944,-1.3487239761746832,-0.964649571485856,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,1.6113072651077522,1.3070239564754318,2.21304058739178,0,0,1,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0,1,0
0,-0.019135231695857704,-1.1541575966380122,-0.5996024412577795,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
0,0.429236454925135,0.9810836967387861,0.7211097968318703,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1
0,1.6113072651077522,-1.5116941060430058,-0.40742825559417445,0,1,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0
0,0.918369203966218,1.0609058011640873,1.3023970030540144,1,1,1,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
0,0.7960860167059473,-0.22955155371161023,0.33329823138744397,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0
0,0.429236454925135,0.891283829260323,0.7355802130159066,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0
1,0.18467008040459354,0.38740679507561104,0.2564903210935192,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
0,1.2852187657470302,-0.34096990780525943,0.5014947609656107,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,1,0,1,0
0,-1.201206041878475,0.831417250941347,-0.8992679959226183,0,1,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0,0.14390901798450328,-1.1242243074785245,-0.5119417188258275,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,-0.9158786049378431,1.1773130367843176,-0.5391619834159203,1,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0
0,0.3477143300849545,-1.4701200933214948,-0.6404107795816626,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1
0,-0.22294054379630893,0.6767619236173268,-0.05963092026840982,0,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0
0,0.9591302663863083,1.1623463922045736,1.4244029053617968,0,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,1,0,0
0,-1.0789228546182041,-1.4684571328126343,-0.9591128726105614,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1
0,-1.201206041878475,0.31756245370347297,-0.907584073516188,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
0,-1.0381617921981139,-0.4706808274963733,-0.8542905895213223,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,-1.1604449794583847,-1.463468251286053,-0.981105258182946,0,0,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1
0,0.021625830724232544,0.8014839617818594,0.3268571315006473,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0
1,-0.22294054379630893,0.43895857085028445,-0.06673377699289106,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
0,1.6113072651077522,-1.3736683838075896,-0.24829779469228655,0,1,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0
0,-1.2827281667186554,-1.5000533824809827,-1.000141796547006,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1
1,1.570546202687662,-0.2794403689774233,0.7493668138010022,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0,1,0
0,-0.7935954176775724,0.7017063312502334,-0.47254512842233815,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
0,-0.3044626686364894,-0.20793306709642462,-0.3459289868120198,1,0,1,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,1,0,0
0,1.407501953007301,-0.4756697090229548,0.4294073827805026,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
0,-1.2827281667186554,-0.9778837826988059,-0.9932154083125742,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
0,-1.2419671042985652,-0.6818768121216486,-0.9730097662019379,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0.429236454925135,-1.3021610819265907,-0.48465527855196616,0,0,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,1,0,0
0,-0.3859847934766699,0.33751797980979803,-0.2242319043618236,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,1.2852187657470302,-1.4850867379012387,-0.44514839534219613,0,0,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1
0,0.9998913288063985,-1.505042264007564,-0.4924419506753882,0,1,0,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1
1,-1.2827281667186554,0.18618857350349852,-0.977774415433267,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1,1.6113072651077522,0.7715506726223714,1.8259569544688061,0,0,1,1,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,0,0
0,-0.9974007297780236,0.2094700206275447,-0.7601887672025734,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
0,1.1629355784867594,1.2039204049260845,1.6254887497728878,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0
0,1.2852187657470302,0.6468286344578388,1.3245217399939362,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0
1,1.570546202687662,-1.360364699736706,-0.23407002268206784,0,1,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0
0,1.3259798281671205,1.1374019845716672,1.8220084720039553,0,0,1,1,1,0,1,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,1,1,0,0
0,-1.201206041878475,-1.505042264007564,-0.9817890735818868,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1
0,-1.2827281667186554,-0.6386398388912774,-0.9887154618163188,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
0,-0.1006573565360382,-0.011703727050893342,-0.1574165223169361,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0
0,-0.712073292837392,0.15459232383515015,-0.5361840776463396,0,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1
0,-0.9974007297780236,0.12299607416680179,-0.7598799473449874,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0
0,-1.0381617921981139,1.002702183353972,-0.7196671901750205,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
0,1.5297851402675717,1.4400607971842665,2.4898755311565006,0,0,1,1,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,1,1,0,1,1,0,0
0,1.2036966409068497,0.7066952127768144,1.2919633035798541,0,1,1,1,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0
0,-1.0789228546182041,-1.501716342989843,-0.9587819941917192,0,0,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1
0,-0.7528343552574821,0.5337473198553295,-0.5002727399213225,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
0,-0.4267458558967602,0.6418397529312578,-0.2050630146302266,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
0,-0.4267458558967602,-1.4867496984100992,-0.8236071308140134,0,1,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1
